"","P9_S1"
"1",64.2460924797811
"2",66.4825982675643
"3",67.7276652081067
"4",68.0289332363675
"5",67.477864779723
"6",66.2027952638989
"7",64.3599537486008
"8",62.123116042799
"9",59.6726283092453
"10",57.1845580216524
"11",54.8206913275368
"12",52.7200060737585
"13",50.9979484791212
"14",49.7543457353759
"15",49.0179462018006
"16",48.7926390257351
"17",49.0468430830111
"18",49.7181911166455
"19",50.7201245880925
"20",51.9498775468085
"21",53.2972423065237
"22",54.6534691336879
"23",55.9196587793499
"24",57.0140593114252
"25",57.8903236134915
"26",58.530595109833
"27",58.9213797911943
"28",59.0834057025639
"29",59.0586372020409
"30",58.9057819350935
"31",58.6948677579306
"32",58.5013770043596
"33",58.4004208560273
"34",58.4613916716672
"35",58.7434525519982
"36",59.2921204533617
"37",60.1546179782749
"38",61.3466869916514
"39",62.8593557014169
"40",64.6707071354999
"41",66.7424322044571
"42",69.0224836604486
"43",71.448385541383
"44",73.9509336778492
"45",76.4580193216223
"46",78.8983239458572
"47",81.2046658415097
"48",83.3168243434702
"49",85.212344551365
"50",86.8409560163208
"51",88.1713392921903
"52",89.1815496670929
"53",89.8570528572373
"54",90.1900668405095
"55",90.1790698234486
"56",89.8285779031808
"57",89.1492291104782
"58",88.1581393558004
"59",86.8794292693439
"60",85.3484128931412
"61",83.6266795471541
"62",81.7512547733483
"63",79.7755758734778
"64",77.7562616392309
"65",75.7511059958407
"66",73.816772941038
"67",72.0063094959062
"68",70.366628019185
"69",68.9361317933769
"70",67.7426651379104
"71",66.8019598013276
"72",66.1190954519826
"73",65.6885289720539
"74",65.4864834102388
"75",65.4792037795347
"76",65.6225254957748
"77",65.8642473659209
"78",66.1471348342586
"79",66.4124111003169
"80",66.6035430915215
"81",66.670087895673
"82",66.5713378130993
"83",66.2794926187783
"84",65.7884981123256
"85",65.1061011172864
"86",64.2524489908099
"87",63.2649097331949
"88",62.193185156529
"89",61.0957943697469
"90",60.0358484098445
"91",59.0764308975794
"92",58.2759344736149
"93",57.6837090298637
"94",57.336354687419
"95",57.2549419734486
"96",57.4585577545436
"97",57.9314700278606
"98",58.6425354564189
"99",59.5451490928168
"100",60.5784846305341
"101",61.6712454429965
"102",62.746303329851
"103",63.7259333675162
"104",64.5372961988157
"105",65.1177840508157
"106",65.4198377585347
"107",65.4160312173398
"108",65.1118628484424
"109",64.5193691364874
"110",63.6772640649123
"111",62.6426599936189
"112",61.487009110388
"113",60.2909630496532
"114",59.138548850913
"115",58.1111133124486
"116",57.2815042362992
"117",56.7089348423896
"118",56.4349189032681
"119",56.4799656788367
"120",56.8438439123486
"121",57.5077278147466
"122",58.4325105303379
"123",59.562826813688
"124",60.8309843727476
"125",62.1616853868935
"126",63.4772220640548
"127",64.7028034953063
"128",65.7716658416126
"129",66.6296339947482
"130",67.2388390783587
"131",67.5782221274501
"132",67.6498652985472
"133",67.4783754990149
"134",67.1060781112895
"135",66.5912327846893
"136",66.0037993393286
"137",65.4204065626265
"138",64.9189108478785
"139",64.5729547849828
"140",64.4469252905273
"141",64.5916682886055
"142",65.0412467220583
"143",65.8190882134516
"144",66.9217509573207
"145",68.3260958720009
"146",69.9916835826068
"147",71.8619863614025
"148",73.8677115103653
"149",75.930862802043
"150",77.9692826462901
"151",79.9013906746429
"152",81.6508242961526
"153",83.1506941165912
"154",84.3476939898493
"155",85.2155453229402
